Datetime,Tweet Id,Text,Username,Label
2023-03-30 23:52:43+00:00,1641589302349144064,"aku tuh pengen jadi #vtuber kaya orang, spill model, live -dll, tapi kenapa kaya gatau harus apa gitu. bukan emang bego. tapi ngerasa kalau ngelakuin itu cuman fomo dan ego. jadi ujungnya ngga ngapa-ngapain https://t.co/V48L5M80AZ",takaa_keii,1
2023-03-30 23:29:04+00:00,1641583348220067842,"daripada ngurusin yg gak penting mending nonton mv terbaru dari vtuber biru satu ini (@kobokanaeru), lirik kebanyakan diambil dari viewer dan dimatangkan oleh HoloID, yuk bisa ditonton guys https://t.co/E9tMyFz335 (daripada kegocek ""a thread"" haha)",milzamrcom,1
2023-03-30 21:55:52+00:00,1641559895660195840,"Kalo udah familiar ama konsep vtuber, pasti langsung ngeh sama plave tuh gimana
Alias, sebagai penyuka gepeng dan kipop ini adalah suatu titik yang 🤌🤌🤌",twinkleaves,1
2023-03-30 17:49:05+00:00,1641497790923546628,@Squiddy_VT good uwu,Infinitys_Realm,1
2023-03-30 16:59:50+00:00,1641485396654579712,"#vtuber #RO實況主斗內計畫 #仙境傳說 #館長 #純白新春祭 #chillart 
Original: 756ygcyk https://t.co/87YZvIo3U9",DerekSa12476087,1
2023-03-30 16:47:45+00:00,1641482355142713346,"@_biruru_ Iyeeess I know. Aku demen vtuber, jadi aku liat ada persamaannya. Gak maksud mislabeling mereka kok hahahaha. Thank you udah sharing, aku kepoin mereka daritadi 😂",yong_nyoung,1
2023-03-30 16:21:10+00:00,1641475666330918913,"Mencoba Nemenin kalian sahur~

Kalo gk jadi, yaudah lah ya...

Free talk : 
31st Mar 2023
03:30 pm

#Vtuber #VtuberID #freetalk
Waiting room : https://t.co/RBNW5ijXqi https://t.co/m9UfpEiyuq",takahiro_kazuya,1
2023-03-30 15:58:25+00:00,1641469940627828737,"bikin intro biar gampang buat moots baru✨
eru (sbnrnya L cumn biar ala org jpn dijdiin eru lol), 20+, mirror dni, she/her, smtms ill wrte toxic words so pardon me😔, rt a lot (random  stuff), love vtuber, me like to draw eheh. salken♥️
.
kli aja ada yg mo add ehe👉👈 https://t.co/kZM0s7CI6J",ille9url_,1
2023-03-30 15:57:15+00:00,1641469647227846657,"【ID】Hari ini kita berhasil bertahan hidup di kota dingin dan menamatkan Frostpunk di part 3!
【EN】The city survived we win! end in part 3 thank you!

#Vtuber #VtuberID #VTuberindonesia #VTuberEN #VTuberUprising #VTubers #virtualyoutuber #Frostpunk",Oxlyt1,1
2023-03-30 15:56:00+00:00,1641469332776718342,"@tang__kira selain suka plave karena mereka lebih mirip vtuber (mana ternyata sifatnya lawak pliss jaim dulu kek awal2😂) gw jg lebih sreg soalnya design mereka lebih kayak webtoon / manhwa gituu cakepp, bukan yg 3D realistic (jujur agak serem kalo terlalu mirip manusia)",y8npudding,1
2023-03-30 15:36:41+00:00,1641464471494475776,Kalau soal ini lebih kearah terlalu banyak vtuber yang live di saat yang bersamaan jadinya gak bisa nonton semua,YatogamiTohka17,1
2023-03-30 15:08:03+00:00,1641457267278233600,Gaterlalu ngikutin perkembangan vtuber. Tp keliatannya pasarnya lumayan fresh buat artis nawarin jasanya,dimydimsky,1
2023-03-30 14:32:56+00:00,1641448426864017414,lrt sumpah video mereka muncul mulu di beranda youtube semingguan ini nyoba nonton satu suara mereka lumayan bagus.. animasi mereka jg lumayan smooth bisa di sandingin sm 3d vtuber jepang tracking nya,hopefulvibe,1
2023-03-30 14:27:11+00:00,1641446981099999240,"@eko_neko3 Sampe sekarang cuma 3 vtuber yang bisa dikatakan aku seneng banget sih kalo dia masih aktif bikin konten/live di yt... (Mungkin ini akan terasa terlalu melebih lebihkan di beberapa orang yang merasa cringe, tapi ya ini alasan aing njr ga usah ngatur antum)",AullKun,1
2023-03-30 14:26:38+00:00,1641446842549559301,"Mau main csgo &amp; Valorant sampe sahur kalo sanggup
https://t.co/zF5aoxzMpT

#vtuber #IDVtuber #VtuberUprisings",serafioz,1
2023-03-30 14:21:23+00:00,1641445519909335042,"@eko_neko3 Terlalu munafik sih kalo ngechat vtuber tapi ga minta di notice... Aku mulai jarang nonton vtuber juga karna in RL juga susah bagi waktu, kalo lagi pengin nonton banget cuma bisa lewat short sama clip buat memenuhi asupan haluku / mampir bentar ke live buat nyapa,syukur"" dinotice",AullKun,1
2023-03-30 13:53:15+00:00,1641438439664152582,"lu itu sebagai penonton gak spesial. gak ada bedanya sama viewers lain. jangan terlalu berharap selalu dinotis. 

lu nonton buat enjoy, bukan dinotis. kalau mau dinotis doang mah, mending tontonin tuh VTuber yang viewsnya di bawah 10 orang.",graphicalhazard,1
2023-03-30 13:48:38+00:00,1641437278428971008,🔴【Free Talk】Pertama Kali Nyalain Media Share【Callista Bella VTUBER INDONESIA】 https://t.co/AuSX9g0kkJ,CallistaBellaCh,1
