Datetime,Tweet Id,Text,Username,Label,clean,Token,Normalisasi,Stopwords,Stemmer
2023-03-30 23:52:43+00:00,1.64159E+18,"aku tuh pengen jadi #vtuber kaya orang, spill model, live -dll, tapi kenapa kaya gatau harus apa gitu. bukan emang bego. tapi ngerasa kalau ngelakuin itu cuman fomo dan ego. jadi ujungnya ngga ngapa-ngapain https://t.co/V48L5M80AZ",takaa_keii,1,aku tuh pengen jadi vtuber kaya orang spill model live dll tapi kenapa kaya gatau harus apa gitu bukan emang bego tapi ngerasa kalau ngelakuin itu cuman fomo dan ego jadi ujungnya ngga ngapangapain,"['aku', 'tuh', 'pengen', 'jadi', 'vtuber', 'kaya', 'orang', 'spill', 'model', 'live', 'dll', 'tapi', 'kenapa', 'kaya', 'gatau', 'harus', 'apa', 'gitu', 'bukan', 'emang', 'bego', 'tapi', 'ngerasa', 'kalau', 'ngelakuin', 'itu', 'cuman', 'fomo', 'dan', 'ego', 'jadi', 'ujungnya', 'ngga', 'ngapangapain']","['aku', 'tuh', 'pengen', 'jadi', 'vtuber', 'kaya', 'orang', 'spill', 'model', 'live', 'dll', 'tapi', 'kenapa', 'kaya', 'gatau', 'harus', 'apa', 'gitu', 'bukan', 'emang', 'bego', 'tapi', 'ngerasa', 'kalau', 'ngelakuin', 'itu', 'cuman', 'fomo', 'dan', 'ego', 'jadi', 'ujungnya', 'ngga', 'ngapangapain']","['tuh', 'pengen', 'vtuber', 'kaya', 'orang', 'spill', 'model', 'live', 'dll', 'kaya', 'gatau', 'gitu', 'emang', 'bego', 'ngerasa', 'ngelakuin', 'cuman', 'fomo', 'ego', 'ujungnya', 'ngga', 'ngapangapain']","['tuh', 'ken', 'vtuber', 'kaya', 'orang', 'spill', 'model', 'live', 'dll', 'kaya', 'gatau', 'gitu', 'emang', 'bego', 'ngerasa', 'ngelakuin', 'cuman', 'fomo', 'ego', 'ujung', 'ngga', 'ngapangapain']"
2023-03-30 23:29:04+00:00,1.64158E+18,"daripada ngurusin yg gak penting mending nonton mv terbaru dari vtuber biru satu ini (@kobokanaeru), lirik kebanyakan diambil dari viewer dan dimatangkan oleh HoloID, yuk bisa ditonton guys https://t.co/E9tMyFz335 (daripada kegocek ""a thread"" haha)",milzamrcom,1,daripada ngurusin yg gak penting mending nonton mv terbaru dari vtuber biru satu ini lirik kebanyakan diambil dari viewer dan dimatangkan oleh holoid yuk bisa ditonton guys daripada kegocek thread haha,"['daripada', 'ngurusin', 'yg', 'gak', 'penting', 'mending', 'nonton', 'mv', 'terbaru', 'dari', 'vtuber', 'biru', 'satu', 'ini', 'lirik', 'kebanyakan', 'diambil', 'dari', 'viewer', 'dan', 'dimatangkan', 'oleh', 'holoid', 'yuk', 'bisa', 'ditonton', 'guys', 'daripada', 'kegocek', 'thread', 'haha']","['daripada', 'ngurusin', 'yg', 'gak', 'penting', 'mending', 'nonton', 'mv', 'terbaru', 'dari', 'vtuber', 'biru', 'satu', 'ini', 'lirik', 'kebanyakan', 'diambil', 'dari', 'viewer', 'dan', 'dimatangkan', 'oleh', 'holoid', 'yuk', 'bisa', 'ditonton', 'guys', 'daripada', 'kegocek', 'thread', 'haha']","['ngurusin', 'yg', 'gak', 'mending', 'nonton', 'mv', 'terbaru', 'vtuber', 'biru', 'lirik', 'kebanyakan', 'diambil', 'viewer', 'dimatangkan', 'holoid', 'yuk', 'ditonton', 'guys', 'kegocek', 'thread', 'haha']","['ngurusin', 'yg', 'gak', 'mending', 'nonton', 'mv', 'baru', 'vtuber', 'biru', 'lirik', 'banyak', 'ambil', 'viewer', 'matang', 'holoid', 'yuk', 'tonton', 'guys', 'gocek', 'thread', 'haha']"
2023-03-30 21:55:52+00:00,1.64156E+18,"Kalo udah familiar ama konsep vtuber, pasti langsung ngeh sama plave tuh gimana
Alias, sebagai penyuka gepeng dan kipop ini adalah suatu titik yang ??????",twinkleaves,1,kalo udah familiar ama konsep vtuber pasti langsung ngeh sama plave tuh gimana alias sebagai penyuka gepeng dan kipop ini adalah suatu titik yang,"['kalo', 'udah', 'familiar', 'ama', 'konsep', 'vtuber', 'pasti', 'langsung', 'ngeh', 'sama', 'plave', 'tuh', 'gimana', 'alias', 'sebagai', 'penyuka', 'gepeng', 'dan', 'kipop', 'ini', 'adalah', 'suatu', 'titik', 'yang']","['kalo', 'udah', 'familiar', 'ama', 'konsep', 'vtuber', 'pasti', 'langsung', 'ngeh', 'sama', 'plave', 'tuh', 'gimana', 'alias', 'sebagai', 'penyuka', 'gepeng', 'dan', 'kipop', 'ini', 'adalah', 'suatu', 'titik', 'yang']","['kalo', 'udah', 'familiar', 'ama', 'konsep', 'vtuber', 'langsung', 'ngeh', 'plave', 'tuh', 'gimana', 'alias', 'penyuka', 'gepeng', 'kipop', 'titik']","['kalo', 'udah', 'familiar', 'ama', 'konsep', 'vtuber', 'langsung', 'ngeh', 'plave', 'tuh', 'gimana', 'alias', 'suka', 'gepeng', 'kipop', 'titik']"
2023-03-30 17:49:05+00:00,1.6415E+18,@Squiddy_VT good uwu,Infinitys_Realm,1,good uwu,"['good', 'uwu']","['good', 'uwu']","['good', 'uwu']","['good', 'uwu']"
2023-03-30 16:59:50+00:00,1.64149E+18,"#vtuber #RO??????? #???? #?? #????? #chillart 
Original: 756ygcyk https://t.co/87YZvIo3U9",DerekSa12476087,1,vtuber ro chillart original ygcyk,"['vtuber', 'ro', 'chillart', 'original', 'ygcyk']","['vtuber', 'ro', 'chillart', 'original', 'ygcyk']","['vtuber', 'ro', 'chillart', 'original', 'ygcyk']","['vtuber', 'ro', 'chillart', 'original', 'ygcyk']"
2023-03-30 16:47:45+00:00,1.64148E+18,"@_biruru_ Iyeeess I know. Aku demen vtuber, jadi aku liat ada persamaannya. Gak maksud mislabeling mereka kok hahahaha. Thank you udah sharing, aku kepoin mereka daritadi ??",yong_nyoung,1,iyeeess know aku demen vtuber jadi aku liat ada persamaannya gak maksud mislabeling mereka kok hahahaha thank you udah sharing aku kepoin mereka daritadi,"['iyeeess', 'know', 'aku', 'demen', 'vtuber', 'jadi', 'aku', 'liat', 'ada', 'persamaannya', 'gak', 'maksud', 'mislabeling', 'mereka', 'kok', 'hahahaha', 'thank', 'you', 'udah', 'sharing', 'aku', 'kepoin', 'mereka', 'daritadi']","['iyeeess', 'know', 'aku', 'demen', 'vtuber', 'jadi', 'aku', 'liat', 'ada', 'persamaannya', 'gak', 'maksud', 'mislabeling', 'mereka', 'kok', 'hahahaha', 'thank', 'you', 'udah', 'sharing', 'aku', 'kepoin', 'mereka', 'daritadi']","['iyeeess', 'know', 'demen', 'vtuber', 'liat', 'persamaannya', 'gak', 'maksud', 'mislabeling', 'hahahaha', 'thank', 'you', 'udah', 'sharing', 'kepoin', 'daritadi']","['iyeeess', 'know', 'demen', 'vtuber', 'liat', 'sama', 'gak', 'maksud', 'mislabeling', 'hahahaha', 'thank', 'you', 'udah', 'sharing', 'poin', 'daritadi']"
2023-03-30 16:21:10+00:00,1.64148E+18,"Mencoba Nemenin kalian sahur~

Kalo gk jadi, yaudah lah ya...

Free talk : 
31st Mar 2023
03:30 pm

#Vtuber #VtuberID #freetalk
Waiting room : https://t.co/RBNW5ijXqi https://t.co/m9UfpEiyuq",takahiro_kazuya,1,mencoba nemenin kalian sahur kalo gk jadi yaudah lah ya free talk st mar pm vtuber vtuberid freetalk waiting room,"['mencoba', 'nemenin', 'kalian', 'sahur', 'kalo', 'gk', 'jadi', 'yaudah', 'lah', 'ya', 'free', 'talk', 'st', 'mar', 'pm', 'vtuber', 'vtuberid', 'freetalk', 'waiting', 'room']","['mencoba', 'nemenin', 'kalian', 'sahur', 'kalo', 'gk', 'jadi', 'yaudah', 'lah', 'ya', 'free', 'talk', 'st', 'mar', 'pm', 'vtuber', 'vtuberid', 'freetalk', 'waiting', 'room']","['mencoba', 'nemenin', 'sahur', 'kalo', 'gk', 'yaudah', 'ya', 'free', 'talk', 'st', 'mar', 'pm', 'vtuber', 'vtuberid', 'freetalk', 'waiting', 'room']","['coba', 'nemenin', 'sahur', 'kalo', 'gk', 'yaudah', 'ya', 'free', 'talk', 'st', 'mar', 'pm', 'vtuber', 'vtuberid', 'freetalk', 'waiting', 'room']"
2023-03-30 15:58:25+00:00,1.64147E+18,"bikin intro biar gampang buat moots baru?
eru (sbnrnya L cumn biar ala org jpn dijdiin eru lol), 20+, mirror dni, she/her, smtms ill wrte toxic words so pardon me??, rt a lot (random  stuff), love vtuber, me like to draw eheh. salken??
.
kli aja ada yg mo add ehe???? https://t.co/kZM0s7CI6J",ille9url_,1,bikin intro biar gampang buat moots baru eru sbnrnya cumn biar ala org jpn dijdiin eru lol mirror dni sheher smtms ill wrte toxic words so pardon me rt lot random stuff love vtuber me like to draw eheh salken kli aja ada yg mo add ehe,"['bikin', 'intro', 'biar', 'gampang', 'buat', 'moots', 'baru', 'eru', 'sbnrnya', 'cumn', 'biar', 'ala', 'org', 'jpn', 'dijdiin', 'eru', 'lol', 'mirror', 'dni', 'sheher', 'smtms', 'ill', 'wrte', 'toxic', 'words', 'so', 'pardon', 'me', 'rt', 'lot', 'random', 'stuff', 'love', 'vtuber', 'me', 'like', 'to', 'draw', 'eheh', 'salken', 'kli', 'aja', 'ada', 'yg', 'mo', 'add', 'ehe']","['bikin', 'intro', 'biar', 'gampang', 'buat', 'moots', 'baru', 'eru', 'sbnrnya', 'cumn', 'biar', 'ala', 'org', 'jpn', 'dijdiin', 'eru', 'lol', 'mirror', 'dni', 'sheher', 'smtms', 'ill', 'wrte', 'toxic', 'words', 'so', 'pardon', 'me', 'rt', 'lot', 'random', 'stuff', 'love', 'vtuber', 'me', 'like', 'to', 'draw', 'eheh', 'salken', 'kli', 'aja', 'ada', 'yg', 'mo', 'add', 'ehe']","['bikin', 'intro', 'biar', 'gampang', 'moots', 'eru', 'sbnrnya', 'cumn', 'biar', 'ala', 'org', 'jpn', 'dijdiin', 'eru', 'lol', 'mirror', 'dni', 'sheher', 'smtms', 'ill', 'wrte', 'toxic', 'words', 'so', 'pardon', 'me', 'rt', 'lot', 'random', 'stuff', 'love', 'vtuber', 'me', 'like', 'to', 'draw', 'eheh', 'salken', 'kli', 'aja', 'yg', 'mo', 'add', 'ehe']","['bikin', 'intro', 'biar', 'gampang', 'moots', 'eru', 'sbnrnya', 'cumn', 'biar', 'ala', 'org', 'jpn', 'dijdiin', 'eru', 'lol', 'mirror', 'dni', 'sheher', 'smtms', 'ill', 'wrte', 'toxic', 'words', 'so', 'pardon', 'me', 'rt', 'lot', 'random', 'stuff', 'love', 'vtuber', 'me', 'like', 'to', 'draw', 'eheh', 'salken', 'kli', 'aja', 'yg', 'mo', 'add', 'ehe']"
2023-03-30 15:57:15+00:00,1.64147E+18,"?ID?Hari ini kita berhasil bertahan hidup di kota dingin dan menamatkan Frostpunk di part 3!
?EN?The city survived we win! end in part 3 thank you!

#Vtuber #VtuberID #VTuberindonesia #VTuberEN #VTuberUprising #VTubers #virtualyoutuber #Frostpunk",Oxlyt1,1,id hari ini kita berhasil bertahan hidup di kota dingin dan menamatkan frostpunk di part en the city survived we win end in part thank you vtuber vtuberid vtuberindonesia vtuberen vtuberuprising vtubers virtualyoutuber frostpunk,"['id', 'hari', 'ini', 'kita', 'berhasil', 'bertahan', 'hidup', 'di', 'kota', 'dingin', 'dan', 'menamatkan', 'frostpunk', 'di', 'part', 'en', 'the', 'city', 'survived', 'we', 'win', 'end', 'in', 'part', 'thank', 'you', 'vtuber', 'vtuberid', 'vtuberindonesia', 'vtuberen', 'vtuberuprising', 'vtubers', 'virtualyoutuber', 'frostpunk']","['id', 'hari', 'ini', 'kita', 'berhasil', 'bertahan', 'hidup', 'di', 'kota', 'dingin', 'dan', 'menamatkan', 'frostpunk', 'di', 'part', 'en', 'the', 'city', 'survived', 'we', 'win', 'end', 'in', 'part', 'thank', 'you', 'vtuber', 'vtuberid', 'vtuberindonesia', 'vtuberen', 'vtuberuprising', 'vtubers', 'virtualyoutuber', 'frostpunk']","['id', 'berhasil', 'bertahan', 'hidup', 'kota', 'dingin', 'menamatkan', 'frostpunk', 'part', 'en', 'the', 'city', 'survived', 'we', 'win', 'end', 'in', 'part', 'thank', 'you', 'vtuber', 'vtuberid', 'vtuberindonesia', 'vtuberen', 'vtuberuprising', 'vtubers', 'virtualyoutuber', 'frostpunk']","['id', 'hasil', 'tahan', 'hidup', 'kota', 'dingin', 'tamat', 'frostpunk', 'part', 'en', 'the', 'city', 'survived', 'we', 'win', 'end', 'in', 'part', 'thank', 'you', 'vtuber', 'vtuberid', 'vtuberindonesia', 'vtuberen', 'vtuberuprising', 'vtubers', 'virtualyoutuber', 'frostpunk']"
2023-03-30 15:56:00+00:00,1.64147E+18,"@tang__kira selain suka plave karena mereka lebih mirip vtuber (mana ternyata sifatnya lawak pliss jaim dulu kek awal2??) gw jg lebih sreg soalnya design mereka lebih kayak webtoon / manhwa gituu cakepp, bukan yg 3D realistic (jujur agak serem kalo terlalu mirip manusia)",y8npudding,1,selain suka plave karena mereka lebih mirip vtuber mana ternyata sifatnya lawak pliss jaim dulu kek awal gw jg lebih sreg soalnya design mereka lebih kayak webtoon manhwa gituu cakepp bukan yg realistic jujur agak serem kalo terlalu mirip manusia,"['selain', 'suka', 'plave', 'karena', 'mereka', 'lebih', 'mirip', 'vtuber', 'mana', 'ternyata', 'sifatnya', 'lawak', 'pliss', 'jaim', 'dulu', 'kek', 'awal', 'gw', 'jg', 'lebih', 'sreg', 'soalnya', 'design', 'mereka', 'lebih', 'kayak', 'webtoon', 'manhwa', 'gituu', 'cakepp', 'bukan', 'yg', 'realistic', 'jujur', 'agak', 'serem', 'kalo', 'terlalu', 'mirip', 'manusia']","['selain', 'suka', 'plave', 'karena', 'mereka', 'lebih', 'mirip', 'vtuber', 'mana', 'ternyata', 'sifatnya', 'lawak', 'pliss', 'jaim', 'dulu', 'kek', 'awal', 'gw', 'jg', 'lebih', 'sreg', 'soalnya', 'design', 'mereka', 'lebih', 'kayak', 'webtoon', 'manhwa', 'gituu', 'cakepp', 'bukan', 'yg', 'realistic', 'jujur', 'agak', 'serem', 'kalo', 'terlalu', 'mirip', 'manusia']","['suka', 'plave', 'vtuber', 'sifatnya', 'lawak', 'pliss', 'jaim', 'kek', 'gw', 'jg', 'sreg', 'design', 'kayak', 'webtoon', 'manhwa', 'gituu', 'cakepp', 'yg', 'realistic', 'jujur', 'serem', 'kalo', 'manusia']","['suka', 'plave', 'vtuber', 'sifat', 'lawak', 'pliss', 'jaim', 'kek', 'gw', 'jg', 'sreg', 'design', 'kayak', 'webtoon', 'manhwa', 'gituu', 'cakepp', 'yg', 'realistic', 'jujur', 'rem', 'kalo', 'manusia']"
